seed,arm,homeownership_rate,rental_vacancy_rate,annual_appreciation_g,mean_ltv_owner_occupier,mean_lti_owner_occupier,institutional_share_of_rentals,investor_share_of_stock,median_price,median_rent,n_households,n_purchases_ftb,n_purchases_repeat,n_purchases_investor,n_purchases_institutional,n_purchases_small_landlord,n_purchases_total,ftb_purchase_share,repeat_buyer_purchase_share,investor_purchase_share,institutional_purchase_share,small_landlord_purchase_share
0,baseline,0.616719834735519,0.02835790981971135,0.0021563005391361995,0.8657633858836834,1.9533796708875455,0.2897474066512282,0.2963595068990082,204566.6798445208,1389.900023335036,654.2833333333333,0.8666666666666667,1.4916666666666667,1.15,0.175,0.975,3.5083333333333333,0.24703087885985747,0.4251781472684085,0.32779097387173395,0.0498812351543943,0.27790973871733965
0,waiting_period,0.5867393989517253,0.05121976132166986,0.019706072943151187,0.8429150353213515,1.9660010429548649,0.4095054831816911,0.3665635750075898,212780.0448886677,1329.365525723949,643.9916666666667,0.8333333333333334,1.425,1.8333333333333333,1.0166666666666666,0.8166666666666667,4.091666666666667,0.20366598778004075,0.34826883910386963,0.4480651731160896,0.2484725050916497,0.19959266802443992
0,ownership_cap_soft,0.5961195979367129,0.038690396473222054,0.010704320532241695,0.8601351487237137,1.9441586270652749,0.20114421268358604,0.34264381619073986,206974.12800021644,1349.6509232366905,648.8583333333333,0.85,1.3666666666666667,1.3666666666666667,0.041666666666666664,1.325,3.5833333333333335,0.2372093023255814,0.3813953488372093,0.3813953488372093,0.011627906976744186,0.3697674418604651
0,ownership_cap_hard,0.6074200535403709,0.03975142856448356,0.017525052858785792,0.8608044387875488,1.9669370256146892,0.18541512008498923,0.3218660968660968,207092.06523179176,1349.1712760652392,641.4666666666667,0.825,1.325,1.3666666666666667,0.06666666666666667,1.3,3.5166666666666666,0.23459715639810427,0.3767772511848341,0.3886255924170616,0.018957345971563982,0.3696682464454976
0,purchase_tax,0.616719834735519,0.02835790981971135,0.0021563005391361995,0.8657633858836834,1.9533796708875455,0.2897474066512282,0.2963595068990082,204566.6798445208,1389.900023335036,654.2833333333333,0.8666666666666667,1.4916666666666667,1.15,0.175,0.975,3.5083333333333333,0.24703087885985747,0.4251781472684085,0.32779097387173395,0.0498812351543943,0.27790973871733965
0,vacancy_tax,0.6068161163224453,0.030158955426216272,-0.002980353572910758,0.8669040059730366,1.95506803670198,0.26975719017097777,0.3049652011095117,198877.6692237402,1362.089305290562,652.2166666666667,1.0083333333333333,1.4916666666666667,0.9416666666666667,0.15,0.7916666666666666,3.441666666666667,0.2929782082324455,0.43341404358353514,0.2736077481840194,0.043583535108958835,0.23002421307506055
0,portfolio_tax,0.6090351368750901,0.03652940855594482,0.005117325039149884,0.8660092645474883,1.9685923284235163,0.27545170461918844,0.31379803130352674,205647.2805547312,1377.0173004062103,655.375,0.875,1.4,1.1333333333333333,0.25,0.8833333333333333,3.408333333333333,0.2567237163814181,0.41075794621026895,0.33251833740831294,0.07334963325183375,0.2591687041564792
1,baseline,0.6032794919551239,0.00802586933192622,0.02389814305098749,0.8919556927076161,2.0176800321397512,0.336090490161279,0.24926917569866666,177354.47397506144,2054.813847215853,695.175,2.3333333333333335,1.225,0.13333333333333333,0.025,0.10833333333333334,3.691666666666667,0.6320541760722348,0.33182844243792325,0.03611738148984198,0.006772009029345372,0.029345372460496615
1,waiting_period,0.5112253440536404,0.006707982432922299,0.01908639190149448,0.8860043583261479,2.0635971931484773,0.342304320765894,0.2688794103517313,174284.84127556847,1729.4788255430308,697.6083333333333,1.1583333333333334,0.6583333333333333,0.05,0.016666666666666666,0.03333333333333333,1.8666666666666667,0.6205357142857143,0.35267857142857145,0.026785714285714284,0.008928571428571428,0.017857142857142856
1,ownership_cap_soft,0.49811494688411456,0.006740843677766526,0.025222500690673964,0.8810459214642757,2.070353064381526,0.3493352600030853,0.27406248557025975,176437.48505419475,1690.9475032994412,691.675,1.3333333333333333,0.7083333333333334,0.041666666666666664,0.016666666666666666,0.025,2.0833333333333335,0.64,0.34,0.02,0.008,0.012
1,ownership_cap_hard,0.5691390432914455,0.013153904974553769,0.0040961583767841125,0.8862527369225677,2.016287439585225,0.2895715170970108,0.27034067061088707,177437.49764346034,1745.9319102300453,686.125,2.191666666666667,1.225,0.26666666666666666,0.0,0.26666666666666666,3.683333333333333,0.5950226244343891,0.332579185520362,0.07239819004524888,0.0,0.07239819004524888
1,purchase_tax,0.5291101966888665,0.008365126860441304,0.027105683901194118,0.8916351853382934,2.0445793327765815,0.3392149230373422,0.2630682229451108,175332.77865730936,1879.5462714901232,689.1,1.275,0.75,0.16666666666666666,0.05,0.11666666666666667,2.191666666666667,0.5817490494296578,0.34220532319391633,0.07604562737642585,0.022813688212927757,0.053231939163498096
1,vacancy_tax,0.5738065577229016,0.010029585042840544,0.029365884032324006,0.8850984358320152,2.0207964772762526,0.32683534478838744,0.2505458756029583,175098.00104298705,2016.156363850382,686.9833333333333,2.283333333333333,1.475,0.16666666666666666,0.016666666666666666,0.15,3.925,0.5817409766454352,0.37579617834394907,0.04246284501061571,0.004246284501061571,0.03821656050955414
1,portfolio_tax,0.6032794919551239,0.00802586933192622,0.02389814305098749,0.8919556927076161,2.0176800321397512,0.336090490161279,0.24926917569866666,177354.47397506144,2054.813847215853,695.175,2.3333333333333335,1.225,0.13333333333333333,0.025,0.10833333333333334,3.691666666666667,0.6320541760722348,0.33182844243792325,0.03611738148984198,0.006772009029345372,0.029345372460496615
2,baseline,0.4901661995751542,0.0492046871474541,0.0064018612720116354,0.8589416608926324,1.9175706008366717,0.2800951671624769,0.447797507833533,213127.7919647808,1427.0257130391644,711.2083333333334,1.3166666666666667,0.8833333333333333,1.2583333333333333,0.23333333333333334,1.025,3.4583333333333335,0.38072289156626504,0.25542168674698795,0.363855421686747,0.06746987951807229,0.2963855421686747
2,waiting_period,0.47605410284804095,0.06192586772667294,0.009260432837106309,0.8451835877301721,1.8802155149693855,0.29185698269100563,0.4839939886356094,216438.58627307843,1412.3764718835732,706.3833333333333,1.05,1.0583333333333333,2.2083333333333335,0.575,1.6333333333333333,4.316666666666666,0.24324324324324326,0.24517374517374518,0.5115830115830116,0.13320463320463322,0.3783783783783784
2,ownership_cap_soft,0.48484501724208545,0.05635926709185891,0.006819879452471352,0.855014615306608,1.9057898105422313,0.22517521456944636,0.47225349797495814,214223.80089932375,1407.387003568017,714.4333333333333,1.2166666666666666,1.0583333333333333,1.8666666666666667,0.10833333333333334,1.7583333333333333,4.141666666666667,0.2937625754527163,0.25553319919517103,0.4507042253521127,0.026156941649899398,0.4245472837022133
2,ownership_cap_hard,0.4925636784019462,0.05438514220985827,0.006176676387752338,0.8599698960377303,1.9371772919269707,0.16670640027820802,0.4559683453942859,214849.36421011758,1411.124800328157,711.525,1.3,0.9833333333333333,1.8916666666666666,0.06666666666666667,1.825,4.175,0.31137724550898205,0.23552894211576847,0.4530938123752495,0.015968063872255488,0.437125748502994
2,purchase_tax,0.47873142343883374,0.05574021300924132,0.015183113995999904,0.851765102616661,1.924402539538669,0.2758312335105582,0.4643654176557343,212379.62769145015,1408.8668441475495,699.5833333333334,1.125,0.9166666666666666,1.6916666666666667,0.275,1.4166666666666667,3.7333333333333334,0.3013392857142857,0.24553571428571427,0.453125,0.07366071428571429,0.3794642857142857
2,vacancy_tax,0.4901069345621517,0.06466048066862372,0.017626243359397827,0.8557095372594401,1.8997057913294706,0.2675152444597405,0.4626659155726403,211881.5379373728,1407.0255457251344,701.5083333333333,1.2416666666666667,0.975,2.05,0.4,1.65,4.266666666666667,0.291015625,0.228515625,0.48046875,0.09375,0.38671875
2,portfolio_tax,0.48247410971095683,0.0605807992357438,0.013262971434970818,0.8484089015500601,1.8844686089788674,0.2707573823662202,0.4589243519829991,214301.03040654928,1414.9006243639546,705.7916666666666,1.0833333333333333,0.9,1.6,0.275,1.325,3.5833333333333335,0.3023255813953488,0.25116279069767444,0.44651162790697674,0.07674418604651163,0.3697674418604651
3,baseline,0.5423671064426715,0.025880697489083195,-0.002167690404600363,0.868593481029204,2.136884000047717,0.2732172950652985,0.3634916948598407,210789.11932070932,1471.8416601401743,675.9166666666666,1.125,0.8916666666666667,0.5583333333333333,0.1,0.4583333333333333,2.575,0.4368932038834951,0.34627831715210355,0.2168284789644013,0.038834951456310676,0.1779935275080906
3,waiting_period,0.515210361455745,0.038213631779368075,0.011774525102970095,0.8553329556090404,2.046104206847858,0.32627931645678776,0.4055111231661854,215117.15806777088,1422.5932511607796,690.75,1.1333333333333333,1.0333333333333334,1.6083333333333334,0.8,0.8083333333333333,3.775,0.30022075055187636,0.2737306843267108,0.4260485651214128,0.2119205298013245,0.2141280353200883
3,ownership_cap_soft,0.5228445887784602,0.036506650321035526,0.002016992802057747,0.858095420815669,2.01548266390368,0.22536439338445463,0.40211514733656023,213799.15140347555,1418.323911132468,689.7416666666667,1.2,0.9333333333333333,1.5833333333333333,0.041666666666666664,1.5416666666666667,3.716666666666667,0.32286995515695066,0.25112107623318386,0.4260089686098655,0.011210762331838564,0.4147982062780269
3,ownership_cap_hard,0.5184267474725013,0.04114345588676128,0.009627695902104745,0.8560197639655844,2.0119102481837783,0.1554426210112058,0.4048476028293036,216314.5339775788,1415.2602143906968,691.8666666666667,1.0666666666666667,1.0916666666666666,2.0083333333333333,0.08333333333333333,1.925,4.166666666666667,0.256,0.262,0.482,0.02,0.462
3,purchase_tax,0.5423671064426715,0.025880697489083195,-0.002167690404600363,0.868593481029204,2.136884000047717,0.2732172950652985,0.3634916948598407,210789.11932070932,1471.8416601401743,675.9166666666666,1.125,0.8916666666666667,0.5583333333333333,0.1,0.4583333333333333,2.575,0.4368932038834951,0.34627831715210355,0.2168284789644013,0.038834951456310676,0.1779935275080906
3,vacancy_tax,0.5226737973601676,0.04058177921654293,0.001991365041566442,0.8499536330551689,2.0162008550191635,0.2562729458042266,0.40410306586279127,215066.15094848775,1430.8982664726927,683.0166666666667,0.95,1.225,1.3833333333333333,0.30833333333333335,1.075,3.558333333333333,0.26697892271662765,0.3442622950819672,0.38875878220140514,0.08665105386416862,0.30210772833723654
3,portfolio_tax,0.5157252851034407,0.036651168989460844,0.0008071384552725714,0.8584539108989316,2.059317039316256,0.30472087987108765,0.40477139519751465,215370.7461139209,1426.7698561191185,674.1,0.975,1.1,1.4416666666666667,0.44166666666666665,1.0,3.5166666666666666,0.2772511848341232,0.3127962085308057,0.4099526066350711,0.12559241706161137,0.2843601895734597
4,baseline,0.5535517414614063,0.026168246143502653,-0.003678672493256476,0.895438280429842,2.087653379373069,0.28100592358280374,0.3229050279329609,189978.14790078637,1461.5274322711086,650.8083333333333,1.1083333333333334,0.7583333333333333,0.6833333333333333,0.175,0.5083333333333333,2.55,0.434640522875817,0.2973856209150327,0.2679738562091503,0.06862745098039216,0.19934640522875818
4,waiting_period,0.5740775128912402,0.015263613295899363,0.0035346202378415707,0.9022216100953826,2.1579100738092185,0.3200405930292698,0.31435396296351975,188808.19241275068,1502.40715117285,656.075,1.375,0.8083333333333333,0.4,0.225,0.175,2.5833333333333335,0.532258064516129,0.31290322580645163,0.15483870967741936,0.08709677419354839,0.06774193548387097
4,ownership_cap_soft,0.5546534061898335,0.025256614071764664,0.003902496965927769,0.895249717344503,2.1327957835720124,0.24706031316906535,0.3339409652049563,192233.20141716246,1480.0378246390464,662.2166666666667,1.4,0.9,1.05,0.05,1.0,3.35,0.417910447761194,0.26865671641791045,0.31343283582089554,0.014925373134328358,0.29850746268656714
4,ownership_cap_hard,0.5772418552521273,0.011658227290741644,0.0005611952083717004,0.8997537700221182,2.161832552491623,0.2331199881891786,0.3108827975873541,190395.88023816972,1511.386509277835,653.7333333333333,1.2333333333333334,0.975,0.3333333333333333,0.0,0.3333333333333333,2.5416666666666665,0.4852459016393443,0.3836065573770492,0.13114754098360656,0.0,0.13114754098360656
4,purchase_tax,0.556946431355088,0.017518112446558924,0.0014556228705059912,0.899973696047664,2.12677090420277,0.2674234771246323,0.3277918676255555,189593.39787931976,1488.9159523240678,655.0333333333333,1.4166666666666667,0.8166666666666667,0.675,0.1,0.575,2.908333333333333,0.4871060171919771,0.2808022922636103,0.23209169054441262,0.034383954154727794,0.1977077363896848
4,vacancy_tax,0.5735375515005536,0.018729679490261865,0.010590081993709914,0.9030218841215396,2.1708468443563285,0.26278065724063493,0.30306533306842465,189414.2589794704,1522.3029477296002,658.5166666666667,1.35,0.9083333333333333,0.4083333333333333,0.075,0.3333333333333333,2.6666666666666665,0.50625,0.340625,0.153125,0.028125,0.125
4,portfolio_tax,0.5620995744571912,0.019179737848458903,0.0014900225456385197,0.8941269537048652,2.09402976678812,0.28556506995225855,0.31369878957169467,191139.68240746675,1482.6797184608774,652.5833333333334,1.1333333333333333,1.0166666666666666,0.5083333333333333,0.1,0.4083333333333333,2.658333333333333,0.4263322884012539,0.3824451410658307,0.19122257053291536,0.03761755485893417,0.1536050156739812
5,baseline,0.5927084873031404,0.016482770884342603,0.004769913866625209,0.8862006815030348,2.0383763949218094,0.23840677417633743,0.2874055910814865,188222.33591893464,1494.7152484576243,698.7833333333333,1.1916666666666667,1.125,0.18333333333333332,0.008333333333333333,0.175,2.5,0.4766666666666667,0.45,0.07333333333333333,0.0033333333333333335,0.07
