parameter,value,policy,outcome,n,baseline_mean,policy_mean,mean_diff,sd_diff,se_diff,ci_lo,ci_hi,boot_ci_lo,boot_ci_hi,t_stat,p_value,arm_correlation,variance_reduction_factor,seeds_same_direction
beta_institutional,10.0,waiting_period,homeownership_rate,15,0.5253182215781592,0.5047297626124183,-0.020588458965740915,0.009911479281823269,0.0025591329463187577,-0.026077253241617256,-0.015099664689864576,-0.02532592343776387,-0.015762712795650644,-8.045091598448156,1.2826448810548948e-06,0.9269218279225842,13.51472059298414,15
beta_institutional,10.0,ownership_cap_soft,homeownership_rate,15,0.5253182215781592,0.5293979999528639,0.004079778374704631,0.00868463468494144,0.002242363033511566,-0.0007296120090499606,0.008889168758459222,-0.00012343341585944114,0.008257247444932208,1.8194102889377601,0.09029578444666511,0.9599415161889449,19.745124868982085,10
beta_institutional,10.0,ownership_cap_hard,homeownership_rate,15,0.5253182215781592,0.533911554758588,0.00859333318042892,0.01258212160138242,0.0032486898281407135,0.0016255864838587396,0.0155610798769991,0.002601038515719701,0.014691014356269514,2.6451688634575024,0.019209448840428977,0.8850325435971892,8.562601091603813,10
beta_institutional,10.0,purchase_tax,homeownership_rate,15,0.5253182215781592,0.5268532760105986,0.001535054432439383,0.005559270014710349,0.0014353973456028963,-0.0015435666862822603,0.004613675551161026,-0.0008325669776906583,0.004631598270956662,1.0694282228832106,0.3029693225710274,0.9759676441344163,41.507940682981236,6
beta_institutional,10.0,vacancy_tax,homeownership_rate,15,0.5253182215781592,0.5293088091483529,0.003990587570193804,0.009971300749405368,0.0025745787828315016,-0.0015313347302188234,0.009512509870606431,-0.0008279613388359336,0.008718580823097868,1.549996293298505,0.14344801546211094,0.934197938097521,14.182061424434936,9
beta_institutional,10.0,portfolio_tax,homeownership_rate,15,0.5253182215781592,0.5257807783653659,0.00046255678720657687,0.009814579523979986,0.0025341135364268536,-0.0049725761913940476,0.005897689765807202,-0.00424059431474797,0.005260875192853912,0.18253199020387634,0.8577820455303059,0.929844679836965,13.958844986569462,5
beta_institutional,10.0,waiting_period,ftb_purchase_share,15,0.33721235434922886,0.25943622743770406,-0.07777612691152472,0.03402050824076662,0.008784057456400087,-0.09661605640991675,-0.058936197413132684,-0.09471383865568422,-0.06146990010895006,-8.854237042228911,4.1242583059715903e-07,0.37574820497902817,1.5497384001231518,15
beta_institutional,10.0,ownership_cap_soft,ftb_purchase_share,15,0.33721235434922886,0.3451124158503997,0.00790006150117084,0.04102608927681095,0.0105928907019405,-0.014819429462919424,0.030619552465261105,-0.012296062124577345,0.02733836313945748,0.745789012976754,0.4681328989358416,0.3002272068950842,1.4290138959378866,11
beta_institutional,10.0,ownership_cap_hard,ftb_purchase_share,15,0.33721235434922886,0.31846193966827435,-0.018750414680954494,0.03951023146412683,0.0102014978976909,-0.0406304515687434,0.0031296222068344093,-0.038744389289959574,0.0009501455800570176,-1.838006032937441,0.0873721340865086,0.3573886425755195,1.556009351475825,11
beta_institutional,10.0,purchase_tax,ftb_purchase_share,15,0.33721235434922886,0.34974707704829044,0.012534722699061614,0.028519357270060573,0.007363666383432268,-0.0032587709343917543,0.028328216332514984,-0.0008455168010998,0.026515134529244866,1.7022393528397564,0.1108007030555892,0.5929550849348932,2.3498348484899756,8
beta_institutional,10.0,vacancy_tax,ftb_purchase_share,15,0.33721235434922886,0.33384643008714804,-0.003365924262080855,0.03445592090727476,0.00889648052347434,-0.022446977258148638,0.015715128733986925,-0.019826409461244435,0.013803693070047746,-0.3783433519805382,0.7108506909448311,0.36420513585533904,1.5284218166384154,8
beta_institutional,10.0,portfolio_tax,ftb_purchase_share,15,0.33721235434922886,0.32882906636130765,-0.008383287987921154,0.024454710319765743,0.006314179053651958,-0.02192585516732331,0.005159279191481002,-0.020544112279747284,0.0032911214179970603,-1.3276924706581572,0.20552256393486404,0.7628142942324492,4.199084071681305,5
beta_institutional,10.0,waiting_period,rental_vacancy_rate,15,0.04808122654846084,0.059904299587797055,0.011823073039336211,0.006295117022794619,0.0016253922261140249,0.008336953430121766,0.015309192648550657,0.008755346087531797,0.015044002643683475,7.2739815346617736,4.069919523715238e-06,0.8830937898150973,5.024417507374019,14
beta_institutional,10.0,ownership_cap_soft,rental_vacancy_rate,15,0.04808122654846084,0.048882533104031255,0.0008013065555704246,0.005733123579197776,0.0014802861429321363,-0.002373591458099613,0.003976204569240463,-0.0019166859910879229,0.0036834647963115744,0.5413186899008623,0.5967973664087433,0.7602688348976496,4.053752173999768,9
beta_institutional,10.0,ownership_cap_hard,rental_vacancy_rate,15,0.04808122654846084,0.04493357358024161,-0.0031476529682192326,0.006718913619276947,0.0017348160368043878,-0.006868463309943606,0.0005731573735051412,-0.006293814262727115,0.00034746168369792474,-1.8144015857827533,0.09109804612183782,0.7216104150923098,3.345435822183695,11
beta_institutional,10.0,purchase_tax,rental_vacancy_rate,15,0.04808122654846084,0.0484103123558308,0.0003290858073699499,0.003566759816577853,0.0009209334246351897,-0.0016461199422461593,0.002304291556986059,-0.001158936167258872,0.00232808744869514,0.3573394108269129,0.726167063484548,0.8827631673052254,8.093226220988173,7
beta_institutional,10.0,vacancy_tax,rental_vacancy_rate,15,0.04808122654846084,0.04694096749904824,-0.0011402590494125953,0.004475949954698956,0.0011556853088671266,-0.003618957515292984,0.0013384394164677933,-0.0033787322672572356,0.0009677387020000682,-0.986651851212288,0.3405593278728256,0.8121681618183474,5.192698183634115,8
beta_institutional,10.0,portfolio_tax,rental_vacancy_rate,15,0.04808122654846084,0.04786969134991261,-0.00021153519854822156,0.0017450308463559504,0.0004505650271036553,-0.0011779010707214659,0.0007548306736250228,-0.0010573498194823073,0.0006376016979994621,-0.4694887215459725,0.6459487682835753,0.9739962767833062,38.33950423438852,9
beta_institutional,25.0,waiting_period,homeownership_rate,15,0.5333391282046661,0.5128516685703943,-0.020487459634271718,0.011209491048877314,0.002894278143450863,-0.026695068867476586,-0.01427985040106685,-0.0261038979301539,-0.015396228779531463,-7.078607728365876,5.519367562265637e-06,0.942216444834741,11.76054275006067,15
beta_institutional,25.0,ownership_cap_soft,homeownership_rate,15,0.5333391282046661,0.533361965579233,2.2837374566656946e-05,0.01738102844433366,0.004487762246990778,-0.009602455351319256,0.00964813010045257,-0.00883581186771935,0.008203656450252061,0.005088811151252566,0.9960115359336493,0.8206396359483188,5.375510764187865,9
beta_institutional,25.0,ownership_cap_hard,homeownership_rate,15,0.5333391282046661,0.5443849614899531,0.011045833285286903,0.011303063601581642,0.0029184384726699286,0.004786405299597273,0.017305261270976535,0.005755997669835987,0.016745412927630793,3.78484363769425,0.0020100861469809703,0.9314716141811584,12.297168584493829,14
beta_institutional,25.0,purchase_tax,homeownership_rate,15,0.5333391282046661,0.5331162730063332,-0.00022285519833292373,0.005847328861771948,0.0015097738200960482,-0.0034609979894417373,0.00301528759277589,-0.003000480162182561,0.0028801614407184387,-0.1476083340210166,0.8847566388936828,0.9826936997645468,49.799005237941806,6
beta_institutional,25.0,vacancy_tax,homeownership_rate,15,0.5333391282046661,0.530290483936369,-0.003048644268297033,0.015887910149345114,0.004102240760963561,-0.011847075643045482,0.005749787106451415,-0.010634150273539315,0.004722428087329112,-0.7431656126348244,0.46966961351561315,0.8579779363538248,5.658989676586316,8
beta_institutional,25.0,portfolio_tax,homeownership_rate,15,0.5333391282046661,0.5320904417023928,-0.0012486865022732477,0.011103219548424609,0.0028668389600222098,-0.007397444540133005,0.004900071535586509,-0.006717465256417568,0.00405036758487789,-0.4355621364457716,0.6697948209589383,0.9304180265537466,14.12025013146817,8
beta_institutional,25.0,waiting_period,ftb_purchase_share,15,0.3278971268368979,0.2701065361770866,-0.05779059065981144,0.032536025936673436,0.008400765773633918,-0.07580844125941698,-0.0397727400602059,-0.0733980003275197,-0.04251032479683781,-6.879205088801442,7.571514028470021e-06,0.1727851805542686,1.2011819695576762,15
beta_institutional,25.0,ownership_cap_soft,ftb_purchase_share,15,0.3278971268368979,0.33137893446151684,0.00348180762461879,0.02351655980792217,0.006071949633078217,-0.009541229118114763,0.016504844367352344,-0.007652675431083386,0.014752350541147246,0.5734249845635929,0.5754530999947,0.5901679346973155,2.362340173663324,10
beta_institutional,25.0,ownership_cap_hard,ftb_purchase_share,15,0.3278971268368979,0.31569516128793634,-0.01220196554896169,0.02847555998903874,0.007352357974098486,-0.027971205056614438,0.0035672739586910564,-0.025585086564105897,0.0015942619070104423,-1.659598946616557,0.11921987942981019,0.594753263934763,2.4049090496210583,9
beta_institutional,25.0,purchase_tax,ftb_purchase_share,15,0.3278971268368979,0.3166298447473934,-0.011267282089504579,0.01966765648786418,0.005078167069095082,-0.022158867218322283,-0.0003756969606868773,-0.02121746968443472,-0.002138428262341183,-2.2187694765057,0.04353942189855165,0.7998042816418824,4.791715490353205,9
beta_institutional,25.0,vacancy_tax,ftb_purchase_share,15,0.3278971268368979,0.3295159246593325,0.0016187978224344811,0.022982062807866983,0.005933943101090779,-0.011108244347646712,0.014345839992515675,-0.010098634846425193,0.012779017443404261,0.272803057740293,0.7889872699429297,0.6790230520289459,3.1112126845288164,9
beta_institutional,25.0,portfolio_tax,ftb_purchase_share,15,0.3278971268368979,0.31904553915757156,-0.008851587679326456,0.014177512315728072,0.0036606179392976914,-0.01670283230508525,-0.0010003430535676632,-0.015896938429083112,-0.002029429748773587,-2.4180583240611773,0.02981867286441281,0.8841900698787728,8.47537584850356,9
beta_institutional,25.0,waiting_period,rental_vacancy_rate,15,0.05148582570661279,0.06211020965740593,0.010624383950793152,0.006248157125677783,0.001613267232815817,0.007164269865795795,0.014084498035790509,0.007703846189188487,0.013621894998614251,6.58563177549278,1.2177044390590403e-05,0.8315508800515977,5.660328274488597,15
beta_institutional,25.0,ownership_cap_soft,rental_vacancy_rate,15,0.05148582570661279,0.0523204341959171,0.0008346084893043134,0.009178908445601642,0.0023699839697451843,-0.004248501579583749,0.005917718558192377,-0.003412296047178359,0.005404681403248422,0.3521578626517245,0.7299646011158856,0.6202893081563491,2.57980086036381,8
beta_institutional,25.0,ownership_cap_hard,rental_vacancy_rate,15,0.05148582570661279,0.04504977676196332,-0.0064360489446494695,0.007607832987986694,0.001964334030879992,-0.010649126424704797,-0.0022229714645941425,-0.009993611691987996,-0.0027370434825470624,-3.276453415494826,0.005514690570048776,0.7483006379033273,3.891056355722564,12
beta_institutional,25.0,purchase_tax,rental_vacancy_rate,15,0.05148582570661279,0.052506414032151255,0.0010205883255384593,0.004292667317958311,0.0011083619355507597,-0.0013566115992256211,0.0033977882503025397,-0.000741214295607933,0.0033911937848905187,0.9208078090766582,0.372745991244801,0.9341993083132025,14.694029103928969,7
